# {"env_id": "SeaquestNoFrameskip-v4", "t_start": 1554369279.9851334} 
r,l,t
240.0,925,9864.424596
200.0,1219,9878.391919
300.0,1257,9892.664965
240.0,1295,9907.458157
200.0,644,9914.812105
400.0,1356,9930.279807
220.0,1099,9942.789037
160.0,987,9954.026654
60.0,472,9959.338642
80.0,722,9967.710118
40.0,507,9973.578954
80.0,596,9980.592569
0.0,382,9984.941642
20.0,669,9992.546433
100.0,546,9998.751355
60.0,629,10005.895039
40.0,447,10010.911084
80.0,540,10017.044071
0.0,339,10020.855632
60.0,542,10026.948951
100.0,952,10037.795576
0.0,361,10041.824143
20.0,561,10048.169665
20.0,360,10052.193304
120.0,721,10060.505091
180.0,773,10069.591511
80.0,509,10075.456524
80.0,603,10082.224174
40.0,552,10088.449141
160.0,943,10099.397953
100.0,660,10107.207887
60.0,468,10112.530324
80.0,381,10116.834508
440.0,1542,10134.898849
120.0,640,10142.444888
120.0,697,10150.451221
140.0,911,10161.095433
160.0,741,10169.653822
300.0,1482,10187.00353
300.0,1162,10201.565608
260.0,1016,10213.196624
260.0,1019,10224.805761
240.0,1034,10236.814551
260.0,1196,10251.42167
180.0,715,10259.717888
260.0,955,10270.65589
240.0,1427,10286.934238
100.0,762,10295.629832
180.0,827,10305.202088
340.0,1319,10323.979871
340.0,1089,10337.882393
320.0,1253,10359.092016
240.0,805,10372.160923
200.0,862,10384.626182
140.0,822,10395.477092
280.0,1113,10408.954759
300.0,1312,10424.942709
180.0,658,10432.734978
300.0,934,10443.635413
140.0,618,10452.634422
500.0,1957,10478.860604
180.0,874,10490.935067
240.0,883,10503.248749
240.0,1168,10520.708836
60.0,676,10529.180677
40.0,511,10535.775238
220.0,899,10545.811352
60.0,764,10555.06343
40.0,438,10560.388793
0.0,480,10566.188286
100.0,573,10573.178298
40.0,494,10579.707174
20.0,554,10587.323497
40.0,511,10593.39538
60.0,617,10600.690583
20.0,481,10606.43341
120.0,930,10617.612495
200.0,814,10626.782436
140.0,861,10636.33501
100.0,722,10644.569032
20.0,370,10648.707457
40.0,580,10655.518909
220.0,1094,10667.898681
60.0,710,10676.182387
20.0,422,10681.724025
80.0,566,10688.456391
180.0,737,10696.854418
160.0,931,10707.390818
140.0,966,10718.359616
120.0,559,10724.703326
160.0,875,10734.660676
160.0,612,10741.689127
120.0,636,10749.045954
320.0,936,10760.351403
120.0,620,10768.158623
120.0,659,10776.183832
120.0,618,10784.31546
100.0,708,10792.474415
80.0,569,10800.336292
160.0,634,10808.111047
80.0,708,10820.276016
80.0,562,10828.930473
140.0,770,10837.938593
60.0,731,10846.1929
80.0,635,10853.817469
40.0,466,10859.268049
160.0,734,10868.74838
140.0,708,10877.705931
160.0,666,10885.408336
180.0,837,10894.861759
60.0,516,10900.746573
120.0,666,10908.213101
120.0,656,10915.660091
220.0,911,10926.459418
140.0,701,10934.409602
80.0,496,10939.985336
180.0,987,10951.288931
20.0,397,10955.775333
20.0,467,10961.013516
40.0,373,10965.202248
20.0,429,10970.077899
40.0,437,10974.99936
40.0,542,10981.15448
0.0,414,10985.806405
80.0,552,10992.063385
80.0,523,10998.051135
60.0,516,11003.902949
60.0,439,11008.98153
20.0,376,11013.247524
20.0,442,11018.216888
40.0,416,11023.016218
20.0,401,11027.495399
40.0,483,11032.950108
80.0,484,11038.482397
40.0,426,11043.343343
20.0,406,11047.969536
40.0,467,11053.25904
80.0,545,11059.634052
60.0,528,11065.596526
0.0,339,11069.486211
20.0,460,11074.574814
20.0,475,11079.804785
0.0,434,11084.569609
20.0,591,11091.147512
20.0,381,11095.367439
20.0,533,11101.26234
0.0,411,11105.754204
80.0,643,11112.934788
0.0,402,11117.292862
20.0,438,11122.19205
40.0,585,11128.762553
60.0,633,11135.829241
60.0,451,11140.799739
0.0,604,11147.434815
60.0,478,11153.959862
20.0,381,11158.256537
20.0,475,11163.430429
20.0,437,11168.278961
0.0,491,11173.631037
60.0,620,11180.950696
60.0,742,11189.763399
20.0,569,11196.81572
20.0,728,11205.274084
100.0,522,11211.640431
20.0,387,11215.903798
60.0,489,11221.314296
60.0,463,11226.45436
100.0,603,11233.206751
0.0,381,11237.403016
40.0,468,11242.603881
20.0,522,11248.350935
0.0,351,11252.183461
100.0,712,11260.169231
20.0,551,11266.224277
20.0,394,11270.655821
40.0,395,11274.957656
60.0,578,11281.314783
20.0,553,11287.451766
40.0,523,11293.185094
60.0,543,11299.159428
20.0,483,11304.50158
80.0,519,11310.228236
100.0,772,11318.743527
20.0,404,11323.134495
80.0,521,11328.885474
80.0,559,11335.055792
40.0,434,11339.783002
20.0,345,11343.540964
100.0,449,11348.501747
80.0,577,11354.922346
60.0,488,11360.284563
20.0,439,11365.070354
40.0,440,11369.944082
80.0,564,11376.173352
60.0,657,11383.346112
20.0,423,11387.94392
0.0,465,11393.033565
0.0,873,11402.691427
0.0,407,11407.127968
0.0,500,11412.699411
0.0,359,11416.653178
0.0,349,11420.494863
0.0,478,11425.780031
20.0,461,11430.84574
280.0,946,11442.11429
100.0,654,11450.001765
100.0,677,11458.33568
60.0,522,11464.223026
20.0,511,11470.045525
80.0,784,11478.77562
80.0,509,11484.761221
100.0,643,11492.453756
100.0,579,11499.569421
60.0,555,11506.03679
60.0,548,11513.451955
200.0,981,11524.923873
120.0,542,11531.352241
120.0,495,11537.621157
220.0,745,11546.235814
240.0,778,11554.719862
220.0,659,11562.111065
320.0,1203,11575.841551
180.0,1006,11587.158314
240.0,737,11595.49463
140.0,754,11604.042158
420.0,950,11614.700568
140.0,885,11624.674931
120.0,782,11633.534067
120.0,728,11641.720485
100.0,692,11651.739043
60.0,610,11658.583704
180.0,733,11666.810756
100.0,463,11671.949161
100.0,610,11678.709462
20.0,497,11684.330699
140.0,809,11693.442635
60.0,516,11699.200356
60.0,625,11706.200947
120.0,666,11713.658534
40.0,510,11719.288594
20.0,604,11726.043674
20.0,435,11730.846757
80.0,643,11738.04849
60.0,638,11745.1949
20.0,553,11751.335526
40.0,568,11757.634545
100.0,567,11764.698893
20.0,782,11773.898808
40.0,895,11783.773674
0.0,371,11787.683148
40.0,418,11792.087508
80.0,663,11799.653228
100.0,586,11806.605301
100.0,792,11815.699668
60.0,618,11822.866623
220.0,836,11831.840422
100.0,734,11839.587417
60.0,856,11849.070546
20.0,489,11854.348569
20.0,472,11859.500234
0.0,923,11869.489827
160.0,861,11878.895143
100.0,680,11886.18331
260.0,841,11895.269236
100.0,616,11901.931366
140.0,776,11910.852507
180.0,1237,11925.753866
180.0,995,11937.027272
180.0,730,11944.980822
280.0,825,11954.62579
220.0,972,11965.267037
200.0,702,11973.123555
160.0,636,11979.902449
120.0,584,11986.466668
380.0,1277,12001.784814
160.0,722,12010.562331
280.0,1193,12024.628736
480.0,1427,12040.944073
320.0,1251,12055.299665
200.0,949,12066.511651
100.0,518,12072.358998
200.0,830,12081.717959
400.0,1366,12097.55758
340.0,1282,12112.611331
200.0,889,12123.028435
440.0,1216,12136.884365
380.0,1498,12154.850338
220.0,923,12166.350312
160.0,650,12174.393819
200.0,929,12184.972515
140.0,620,12192.570163
200.0,830,12201.804483
300.0,1056,12213.625856
280.0,1165,12226.592138
280.0,1272,12241.848622
160.0,568,12248.964614
180.0,931,12260.375136
440.0,1474,12277.065482
300.0,1237,12290.893485
120.0,690,12298.575932
300.0,1114,12311.036594
200.0,811,12320.150237
120.0,599,12326.87325
260.0,924,12337.747132
280.0,1006,12349.63034
