# {"t_start": 1554460806.1331735, "env_id": "SeaquestNoFrameskip-v4"} 
r,l,t
60.0,412,2658.694677
220.0,974,2667.615304
220.0,787,2674.83221
80.0,445,2678.893305
100.0,516,2683.564961
0.0,330,2686.556878
20.0,384,2690.00153
40.0,404,2693.667761
180.0,752,2700.591692
60.0,524,2705.341861
20.0,358,2708.552193
140.0,878,2716.599058
60.0,482,2720.953763
60.0,422,2724.766969
140.0,583,2730.073495
80.0,619,2735.725991
140.0,610,2741.259401
40.0,394,2744.785615
80.0,494,2749.28039
80.0,467,2753.537142
60.0,533,2758.396038
20.0,490,2762.846265
100.0,443,2766.860198
120.0,667,2773.021078
20.0,406,2776.733941
80.0,468,2781.031119
40.0,419,2784.868861
40.0,429,2788.829725
340.0,1212,2800.074784
120.0,563,2805.340612
40.0,446,2809.491807
60.0,538,2814.482468
60.0,477,2818.878199
180.0,670,2825.071721
60.0,420,2828.877236
20.0,330,2831.878326
0.0,309,2834.658186
120.0,542,2839.586042
140.0,548,2844.56892
100.0,467,2848.795162
180.0,618,2854.450767
160.0,816,2861.938809
100.0,629,2867.70813
140.0,706,2874.181948
60.0,487,2878.658599
20.0,334,2881.699918
120.0,484,2886.28862
0.0,303,2889.218537
60.0,491,2894.036948
80.0,469,2898.392118
40.0,373,2901.790957
40.0,543,2906.75185
100.0,486,2911.139727
100.0,715,2917.689387
20.0,354,2920.887082
80.0,547,2925.844495
60.0,446,2929.880137
180.0,702,2936.302204
0.0,424,2940.103032
20.0,368,2943.404681
0.0,330,2946.372778
100.0,620,2952.071948
120.0,731,2958.75088
180.0,751,2965.623039
60.0,488,2970.033026
20.0,330,2973.010602
80.0,577,2978.285275
80.0,579,2983.571562
200.0,850,2991.452785
60.0,443,2995.432508
80.0,475,2999.744519
20.0,499,3004.240342
40.0,439,3008.173599
60.0,577,3013.409261
80.0,574,3018.60825
100.0,670,3024.683255
60.0,385,3028.151901
140.0,743,3034.860285
120.0,604,3040.465866
160.0,547,3045.392685
260.0,893,3053.576412
120.0,595,3058.972348
80.0,552,3063.967642
100.0,642,3069.945096
40.0,407,3073.733423
140.0,743,3080.9543
20.0,363,3084.911892
100.0,590,3090.545707
80.0,544,3095.86114
100.0,567,3101.418453
200.0,1134,3112.061455
140.0,672,3118.463377
60.0,477,3123.028765
80.0,409,3127.146421
60.0,552,3132.446342
160.0,681,3138.828491
40.0,484,3143.231051
20.0,371,3146.658125
100.0,512,3151.350143
160.0,609,3156.969693
20.0,370,3160.385586
40.0,418,3164.201196
120.0,642,3170.116414
200.0,766,3177.212698
40.0,471,3181.77709
120.0,662,3189.252655
100.0,550,3194.51267
40.0,384,3198.226979
320.0,1041,3208.735642
120.0,823,3218.321097
60.0,366,3221.733082
60.0,525,3226.881011
260.0,1023,3236.801036
20.0,414,3240.869898
300.0,1265,3253.446487
100.0,565,3259.054451
160.0,648,3265.76843
180.0,697,3272.628798
20.0,345,3275.966036
100.0,528,3280.965961
200.0,847,3289.568311
40.0,406,3293.840788
80.0,464,3298.302173
20.0,347,3301.519702
80.0,517,3306.562953
100.0,477,3311.175981
120.0,578,3316.696037
180.0,642,3322.97147
20.0,396,3326.717239
260.0,1097,3337.170495
160.0,661,3343.815397
240.0,845,3353.077913
100.0,494,3357.777
40.0,425,3362.023617
100.0,489,3366.970632
120.0,716,3375.679989
80.0,538,3381.049391
100.0,445,3386.23862
120.0,628,3393.775387
0.0,382,3397.960495
200.0,753,3405.046667
40.0,469,3409.297087
60.0,376,3412.646233
120.0,568,3418.153118
0.0,347,3421.261314
60.0,473,3425.592026
340.0,1198,3437.504421
100.0,650,3443.552413
140.0,673,3449.697841
140.0,805,3457.02083
0.0,309,3459.789774
140.0,787,3467.027403
160.0,747,3473.892847
200.0,921,3482.586629
120.0,667,3489.018066
80.0,483,3493.341068
100.0,572,3498.727675
80.0,406,3503.241301
80.0,470,3507.915751
60.0,498,3512.804678
160.0,609,3518.593041
160.0,727,3525.595148
320.0,1069,3536.501009
180.0,747,3544.028295
140.0,628,3549.682393
20.0,384,3553.198287
240.0,748,3560.313578
100.0,605,3566.54596
160.0,636,3572.97191
40.0,548,3578.32239
80.0,393,3582.309444
60.0,462,3587.412999
200.0,748,3594.431918
80.0,521,3599.1
20.0,409,3602.757468
140.0,678,3608.909805
80.0,721,3615.410629
100.0,679,3621.802421
100.0,689,3628.066638
140.0,1040,3637.518804
140.0,595,3642.830389
260.0,790,3649.966104
40.0,470,3654.134571
200.0,725,3660.720154
200.0,802,3667.967895
100.0,506,3672.485391
60.0,608,3677.947931
140.0,581,3683.137379
180.0,786,3690.262339
100.0,591,3695.584745
200.0,978,3705.257261
80.0,534,3710.237437
220.0,1057,3721.08937
240.0,830,3729.532272
180.0,877,3737.784276
60.0,397,3741.668579
20.0,355,3745.556035
160.0,857,3754.281857
60.0,616,3760.181957
60.0,467,3765.081612
40.0,391,3768.664362
120.0,615,3775.244974
60.0,463,3779.890002
20.0,398,3784.819631
80.0,499,3790.084675
20.0,436,3794.172084
140.0,629,3799.909996
120.0,512,3804.609173
80.0,442,3808.595567
80.0,494,3813.016314
60.0,463,3817.283702
240.0,778,3824.392031
60.0,626,3831.057375
140.0,702,3838.050616
140.0,803,3845.476473
80.0,562,3850.650805
180.0,727,3857.564917
200.0,616,3863.342223
160.0,863,3871.40159
60.0,420,3875.234475
320.0,967,3884.385983
40.0,356,3887.531107
20.0,512,3892.157741
80.0,694,3898.485225
60.0,441,3902.639854
80.0,544,3907.534443
260.0,707,3914.019665
100.0,495,3918.554459
180.0,863,3926.48651
