# {"env_id": "SeaquestNoFrameskip-v4", "t_start": 1554416477.9348264} 
r,l,t
140.0,719,31403.335874
0.0,376,31406.90638
220.0,895,31415.548357
40.0,424,31419.751094
140.0,702,31426.548781
20.0,333,31429.624651
40.0,399,31433.333592
0.0,382,31436.919899
20.0,342,31440.455255
20.0,456,31444.919127
60.0,395,31448.574656
0.0,306,31451.403264
140.0,785,31459.060388
80.0,444,31463.414737
40.0,387,31467.360277
100.0,684,31474.620091
40.0,413,31478.614268
0.0,429,31482.639746
0.0,410,31486.533492
20.0,398,31490.204025
20.0,390,31493.812757
60.0,480,31498.403666
260.0,982,31507.599087
80.0,493,31512.205454
100.0,477,31516.687887
60.0,524,31521.648003
140.0,785,31528.997417
100.0,617,31534.855739
300.0,1167,31545.804104
80.0,493,31550.361622
80.0,547,31555.467283
100.0,489,31560.076495
320.0,1183,31571.144475
220.0,1026,31580.562605
180.0,575,31585.812196
140.0,556,31590.966231
160.0,710,31597.358221
160.0,629,31603.114842
340.0,1202,31614.220101
220.0,868,31622.433944
320.0,1048,31632.593543
80.0,434,31636.606828
220.0,771,31643.559592
160.0,552,31648.603181
80.0,524,31653.394089
140.0,711,31659.838908
20.0,358,31663.099868
100.0,581,31668.485403
360.0,1242,31679.896541
140.0,640,31685.857206
0.0,316,31688.649328
220.0,878,31696.806404
160.0,595,31702.160671
140.0,561,31707.26031
80.0,492,31711.797329
160.0,671,31717.922384
100.0,483,31722.316584
100.0,483,31726.794657
320.0,1398,31739.770391
40.0,401,31743.534792
200.0,720,31750.050523
280.0,988,31759.208946
340.0,1206,31770.281428
260.0,1255,31781.911333
220.0,814,31789.417819
360.0,1485,31803.153249
200.0,865,31811.070133
120.0,559,31816.138412
120.0,549,31821.356913
520.0,1731,31837.31579
220.0,741,31844.136233
240.0,756,31851.065882
360.0,1371,31863.838431
140.0,571,31869.034444
100.0,530,31873.919793
80.0,631,31879.714127
100.0,756,31886.54518
180.0,703,31893.028064
140.0,689,31899.297549
140.0,789,31906.53128
40.0,391,31910.163441
80.0,447,31914.285221
80.0,496,31918.81398
0.0,389,31922.321773
80.0,562,31927.477198
20.0,344,31930.584227
80.0,500,31935.11061
80.0,559,31940.260889
0.0,383,31943.718208
60.0,407,31947.35598
20.0,371,31950.730772
160.0,787,31958.098365
40.0,369,31961.390957
200.0,922,31970.113883
20.0,470,31974.338249
100.0,472,31978.595676
80.0,523,31983.361746
140.0,783,31990.540287
60.0,512,31995.196851
120.0,779,32002.391741
140.0,797,32009.697051
0.0,334,32012.735815
0.0,343,32015.908064
120.0,850,32023.589213
80.0,704,32030.164059
120.0,501,32034.691555
260.0,932,32043.243607
340.0,1206,32054.457114
200.0,808,32061.898102
300.0,1186,32072.860838
60.0,491,32077.384672
280.0,989,32086.398587
460.0,1393,32099.314366
120.0,642,32105.428714
220.0,890,32113.479241
140.0,762,32120.564951
140.0,599,32125.96026
120.0,557,32131.055688
160.0,768,32138.095434
240.0,930,32146.62777
140.0,883,32154.837576
120.0,551,32159.834066
360.0,1131,32170.284474
80.0,478,32174.593882
360.0,1032,32184.156857
80.0,752,32190.95245
220.0,932,32199.669277
160.0,770,32206.717978
340.0,1317,32218.992878
100.0,631,32224.779335
300.0,1077,32234.874481
60.0,472,32239.150764
80.0,507,32243.857362
220.0,837,32251.450289
180.0,708,32258.048925
80.0,711,32264.498261
260.0,908,32272.889183
240.0,895,32281.097328
100.0,592,32286.55788
60.0,432,32290.552668
400.0,1410,32303.778047
120.0,652,32309.64366
140.0,638,32315.485776
220.0,829,32323.109098
280.0,875,32331.26955
200.0,876,32339.502857
320.0,1127,32350.014071
240.0,662,32356.100167
100.0,670,32362.228817
180.0,682,32368.509594
160.0,1032,32377.96012
180.0,708,32384.484512
100.0,565,32389.624298
180.0,726,32396.355834
160.0,755,32403.525139
100.0,549,32408.628251
240.0,941,32417.330784
240.0,989,32426.533311
220.0,832,32434.11241
200.0,719,32440.857964
200.0,846,32448.585558
200.0,801,32456.056462
220.0,750,32462.890681
340.0,1357,32475.536462
160.0,744,32482.3732
260.0,970,32491.379338
160.0,717,32497.996195
300.0,1060,32508.6479
320.0,1147,32520.177549
240.0,903,32529.144817
200.0,783,32537.163218
200.0,833,32545.585006
380.0,1171,32556.931116
180.0,1001,32566.060018
220.0,789,32573.210057
100.0,509,32577.832741
180.0,692,32584.112126
340.0,1193,32594.983867
180.0,623,32600.561571
140.0,665,32606.599097
440.0,1393,32619.496958
300.0,1002,32629.42235
380.0,1357,32641.968564
340.0,1073,32652.160708
240.0,998,32662.162402
320.0,1070,32672.297573
120.0,663,32678.235054
260.0,909,32686.921268
160.0,593,32692.403852
120.0,906,32701.037442
40.0,352,32704.458316
160.0,867,32712.53244
140.0,604,32718.148222
120.0,589,32723.424714
220.0,694,32729.762944
140.0,539,32734.792684
140.0,612,32740.206715
180.0,772,32747.295039
140.0,648,32753.342255
100.0,807,32761.07261
260.0,883,32769.912696
180.0,801,32778.052823
240.0,992,32787.525223
180.0,621,32793.249449
280.0,1006,32802.311486
140.0,645,32808.231136
220.0,959,32816.770294
260.0,960,32825.647587
180.0,697,32831.830034
320.0,1233,32843.065493
220.0,764,32849.938358
260.0,965,32858.884024
160.0,808,32866.124355
220.0,855,32873.862034
360.0,1396,32886.865182
380.0,1440,32901.571112
200.0,763,32908.9362
140.0,807,32916.492476
200.0,849,32924.445383
120.0,703,32931.795059
220.0,868,32939.780751
160.0,704,32947.963418
160.0,592,32954.47818
220.0,971,32965.696201
80.0,586,32971.934863
180.0,767,32981.060331
160.0,753,32988.861942
240.0,969,32999.483889
200.0,905,33009.002281
120.0,691,33016.341856
280.0,1036,33027.123994
140.0,680,33034.300253
100.0,782,33042.805759
180.0,887,33052.071293
120.0,713,33059.413617
160.0,791,33067.786858
160.0,778,33076.259545
160.0,802,33085.164762
260.0,1152,33098.056718
220.0,780,33106.132263
100.0,548,33111.982793
180.0,708,33119.19077
140.0,806,33126.908195
280.0,980,33136.38482
480.0,1697,33155.174011
120.0,744,33163.613926
140.0,644,33170.555308
220.0,1084,33181.049368
260.0,1059,33191.603538
140.0,642,33198.044357
200.0,667,33205.079831
280.0,993,33215.963738
320.0,1404,33230.931055
180.0,833,33239.539636
400.0,1416,33253.644597
100.0,550,33259.073921
220.0,913,33268.243865
160.0,635,33274.414714
260.0,979,33283.893048
200.0,795,33291.493805
180.0,892,33300.078666
240.0,989,33309.592879
380.0,1426,33323.442448
260.0,1503,33338.137539
320.0,1038,33348.192361
180.0,864,33356.487471
260.0,924,33365.345151
120.0,876,33373.709746
160.0,1066,33383.775305
240.0,964,33393.066212
200.0,546,33398.316215
140.0,825,33406.435637
180.0,977,33416.057035
180.0,819,33423.907607
240.0,1101,33434.9124
260.0,984,33445.231292
120.0,857,33453.767419
260.0,1047,33464.948364
280.0,1140,33475.858289
140.0,689,33482.742258
220.0,1392,33496.363226
60.0,638,33502.447565
140.0,752,33509.86817
260.0,1002,33519.62528
180.0,525,33524.733535
160.0,967,33533.938365
180.0,689,33540.540508
180.0,1213,33552.031946
140.0,779,33559.419617
160.0,595,33565.050578
300.0,902,33573.60094
140.0,1092,33583.95194
160.0,899,33592.54203
280.0,1333,33605.294951
280.0,1019,33614.872098
220.0,864,33623.072625
220.0,928,33631.942307
280.0,943,33640.855655
160.0,681,33647.294668
220.0,888,33656.047745
120.0,605,36191.758355
180.0,864,36200.344544
220.0,943,36210.078931
460.0,1489,36224.242372
120.0,780,36231.574171
240.0,1461,36245.420794
200.0,821,36253.244344
140.0,753,36260.259173
220.0,933,36269.242728
160.0,612,36274.955469
140.0,737,36281.963062
220.0,791,36289.362749
180.0,735,36296.452232
260.0,1149,36307.52358
100.0,545,36312.8273
340.0,1205,36324.301528
140.0,668,36330.676375
260.0,1043,36340.708489
200.0,926,36349.483799
180.0,714,36356.349989
160.0,700,36362.981474
